country_of_origin,aroma,flavor
Ethiopia,8.67,8.83
Ethiopia,8.75,8.67
Ethiopia,8.17,8.58
Ethiopia,8.25,8.5
Brazil,8.58,8.42
Ethiopia,8.25,8.33
Ethiopia,8.67,8.67
Ethiopia,8.08,8.58
Ethiopia,8.17,8.67
Ethiopia,8.25,8.33
Indonesia,8.33,8.25
Ethiopia,8.17,8.33
Ethiopia,8.17,8.17
Ethiopia,8.42,8.17
Brazil,8.5,8.5
Ethiopia,7.83,8.25
Brazil,8.5,8.17
Ethiopia,8,8.08
Ethiopia,7.92,7.75
Brazil,8.17,7.92
Brazil,8.42,7.92
Brazil,8.33,8
Colombia,7.75,7.92
Ethiopia,7.75,8.08
Colombia,8,8
Ethiopia,7.83,8.08
Ethiopia,7.83,8
Ethiopia,7.83,8
Ethiopia,7.75,7.83
Brazil,8,8
Ethiopia,7.83,7.83
Ethiopia,7.92,7.83
Colombia,8.17,7.92
Colombia,7.58,8.08
Indonesia,7.75,7.83
Ethiopia,7.75,8
Colombia,8.17,7.83
Ethiopia,8.42,8
Colombia,7.83,8
Ethiopia,7.67,8
Colombia,8,7.92
Brazil,8,8
Colombia,7.92,7.92
Colombia,7.92,7.83
Colombia,7.75,7.92
Brazil,8,7.92
Brazil,8,8
Ethiopia,7.75,7.92
Ethiopia,7.42,7.92
Indonesia,7.92,7.83
Ethiopia,8.08,7.83
Colombia,7.75,7.83
Ethiopia,7.42,7.75
Colombia,7.83,7.67
Colombia,7.92,7.83
Colombia,7.67,7.67
Colombia,7.75,7.75
Colombia,7.67,7.83
Colombia,7.42,7.67
Brazil,8,8
Brazil,8.5,8
Colombia,8.08,7.67
Brazil,7.81,7.81
Brazil,8.17,7.67
Indonesia,7.67,7.67
Colombia,7.92,7.83
Colombia,7.92,7.75
Ethiopia,7.5,7.75
Colombia,7.58,7.75
Colombia,7.67,7.67
Colombia,7.75,7.67
Colombia,7.75,7.58
Brazil,8.17,8
Brazil,8,8
Ethiopia,7.75,7.75
Colombia,7.83,7.58
Colombia,7.67,7.67
Colombia,7.83,7.67
Colombia,7.83,7.75
Colombia,7.42,7.67
Colombia,7.58,7.5
Colombia,7.83,7.75
Colombia,8,7.5
Brazil,7.67,7.75
Ethiopia,7.5,7.92
Colombia,7.67,7.5
Brazil,7.58,7.83
Colombia,7.75,7.75
Indonesia,7.81,7.88
Colombia,7.83,7.5
Colombia,7.92,7.75
Ethiopia,7.92,7.92
Ethiopia,7.83,7.75
Colombia,7.67,7.67
Colombia,7.67,7.75
Colombia,7.58,7.42
Colombia,7.67,7.67
Ethiopia,7.75,7.75
Brazil,7.58,7.83
Colombia,7.67,7.83
Brazil,7.5,7.75
Brazil,7.58,7.67
Colombia,7.75,7.67
Colombia,7.75,7.58
Colombia,7.92,7.67
Colombia,7.83,7.75
Colombia,7.75,7.58
Colombia,7.67,7.83
Colombia,7.92,7.58
Colombia,7.83,7.67
Brazil,7.25,7.58
Ethiopia,7.75,7.75
Brazil,7.67,7.67
Brazil,7.92,7.5
Colombia,7.67,7.58
Brazil,7.83,7.83
Ethiopia,7.58,7.83
Brazil,7.67,7.67
Colombia,7.83,7.83
Colombia,7.92,7.75
Colombia,7.75,7.67
Colombia,7.67,7.67
Colombia,7.67,7.42
Colombia,7.58,7.67
Colombia,7.75,7.67
Colombia,7.83,7.83
Colombia,7.75,7.67
Brazil,7.67,7.83
Brazil,7.58,7.75
Colombia,7.5,7.75
Colombia,7.83,7.75
Colombia,7.67,7.67
Colombia,7.75,7.75
Indonesia,8.17,7.67
Brazil,7.58,7.67
Colombia,7.75,7.75
Colombia,7.67,7.75
Ethiopia,7.75,7.67
Colombia,7.67,7.58
Colombia,7.67,7.58
Colombia,7.75,7.58
Colombia,7.67,7.67
Colombia,7.67,7.58
Brazil,7.83,7.75
Colombia,7.75,7.58
Colombia,7.75,7.58
Colombia,7.58,7.58
Indonesia,7.25,7.67
Ethiopia,7.67,7.75
Colombia,7.67,7.42
Colombia,8,7.58
Colombia,7.75,7.58
Colombia,7.58,7.75
Colombia,7.67,7.58
Indonesia,7.83,7.58
Colombia,7.5,7.58
Colombia,7.67,7.67
Colombia,7.58,7.67
Brazil,7.33,7.83
Colombia,7.58,7.58
Colombia,7.5,7.75
Colombia,7.58,7.58
Colombia,7.75,7.5
Colombia,7.67,7.58
Colombia,7.83,7.58
Brazil,7.5,7.83
Colombia,7.67,7.75
Colombia,7.67,7.67
Colombia,7.5,7.67
Brazil,7.58,7.67
Colombia,7.58,7.67
Colombia,7.58,7.58
Colombia,7.83,7.5
Brazil,7.75,7.67
Colombia,7.67,7.58
Colombia,7.67,7.67
Colombia,7.92,7.75
Colombia,8,7.67
Colombia,7.92,7.75
Brazil,7.67,7.42
Vietnam,7.58,7.42
Colombia,7.58,7.5
Colombia,7.58,7.75
Colombia,7.67,7.5
Colombia,7.58,7.67
Brazil,7.75,7.67
Brazil,7.92,7.58
Brazil,7.75,7.5
Brazil,7.58,7.75
Ethiopia,7.75,8
Colombia,7.58,7.67
Colombia,7.75,7.5
Brazil,7.58,7.58
Brazil,7.33,7.67
Brazil,7.42,7.67
Brazil,7.58,7.83
Colombia,7.33,7.33
Colombia,7.83,7.75
Indonesia,7.67,7.58
Brazil,7.58,7.5
Brazil,7.5,7.58
Brazil,7.5,7.67
Colombia,7.67,7.67
Vietnam,7.75,7.67
Brazil,7.67,7.67
Brazil,7.75,7.58
Colombia,7.75,7.42
Colombia,7.83,7.5
Colombia,7.33,7.67
Colombia,7.58,7.75
Colombia,7.5,7.5
Colombia,7.67,7.58
Colombia,7.75,7.58
Colombia,7.67,7.58
Colombia,7.67,7.67
Colombia,7.33,7.67
Colombia,7.5,7.58
Brazil,7.67,7.58
Colombia,7.58,7.67
Ethiopia,7.58,7.58
Brazil,7.08,7.5
Colombia,7.58,7.5
Colombia,7.75,7.5
Colombia,7.83,7.67
Vietnam,7.67,7.33
Colombia,7.5,7.75
Brazil,7.67,7.58
Vietnam,7.25,7.58
Brazil,7.58,7.83
Colombia,7.83,7.67
Colombia,7.5,7.42
Colombia,7.83,7.5
Indonesia,7.5,7.58
Brazil,7.5,7.5
Colombia,7.5,7.58
Colombia,7.67,7.42
Colombia,7.58,7.33
Colombia,7.5,7.58
Colombia,7.67,7.58
Brazil,7.5,7.58
Brazil,7.5,7.58
Colombia,7.75,7.5
Brazil,7.58,7.5
Brazil,7.33,7.5
Colombia,7.75,7.58
Colombia,7.33,7.58
Colombia,8.08,7.67
Colombia,7.5,7.42
Brazil,7.5,7.58
Brazil,7.42,7.42
Indonesia,7.83,7.58
Colombia,7.75,7.25
Colombia,7.75,7.5
Colombia,7.58,7.5
Colombia,7.33,7.42
Brazil,7.58,7.5
Brazil,7.5,7.5
Indonesia,7.83,7.75
Brazil,7.42,7.5
Colombia,7.5,7.5
Brazil,7.67,7.42
Colombia,7.67,7.5
Colombia,5.08,7.75
Brazil,7.42,7.5
Brazil,7.17,7.83
Brazil,7.58,7.67
Brazil,7.25,7.33
Colombia,7.67,7.42
Colombia,7.67,7.33
Brazil,7.75,7.5
Colombia,7.33,7.58
Colombia,7.58,7.25
Brazil,7.33,7.5
Brazil,7.42,7.42
Brazil,7.5,7.5
Brazil,8.25,7.83
Brazil,7.42,7.5
Brazil,7.75,8.08
Colombia,7.42,7.33
Colombia,7.5,7.42
Brazil,7.58,7.5
Brazil,7.58,7.58
Colombia,7.83,7.58
Brazil,7.58,7.5
Brazil,7.42,7.67
Brazil,7.75,7.58
Colombia,7.5,7.42
Colombia,7.67,7.33
Brazil,7.67,7.58
Colombia,7.17,7.25
Brazil,7.42,7.42
Brazil,6.92,7.58
Brazil,7.58,7.5
Colombia,7.33,7.25
Colombia,7.58,7.67
Indonesia,7.5,7.5
Colombia,7.75,7.58
Brazil,7.42,7.58
Brazil,7.25,7.25
Colombia,7.5,7.42
Vietnam,7.67,8
Colombia,7.67,7.42
Brazil,7.5,7.33
Colombia,7.33,7.33
Brazil,7.33,7.67
Brazil,7.42,7.5
Brazil,7.42,7.5
Brazil,7.58,7.5
Colombia,7.33,7
Brazil,7.42,7.33
Brazil,7.42,7.58
Colombia,7.67,7.33
Brazil,7.42,7.5
Indonesia,7.75,7.83
Brazil,7.17,7.58
Brazil,7.58,7
Indonesia,7.42,7.42
Brazil,7.33,7.58
Colombia,7.5,7.5
Brazil,7.75,7.75
Brazil,7.33,7.67
Colombia,7.58,7.5
Vietnam,7,7.08
Brazil,7.17,7.25
Colombia,7.33,7.42
Colombia,7.42,7.58
Brazil,7.42,7.5
Colombia,7.75,7.75
Brazil,7.25,7.75
Brazil,7.25,7.42
Indonesia,7.17,7.42
Brazil,7.42,7.42
Brazil,7.58,7.5
Indonesia,7.75,7.17
Brazil,7.5,7.42
Colombia,7.42,7.42
Brazil,7.33,7.5
Brazil,7.25,7.5
Colombia,7.5,7.42
Colombia,7.75,7.33
Colombia,7.5,7.33
Brazil,7.25,7.33
Brazil,7.17,7.33
Brazil,,
Brazil,7.42,7.42
Brazil,7.42,7.33
Ethiopia,7.42,7.33
Brazil,7.58,7.42
Brazil,7.25,7.25
Brazil,7.33,7.17
Colombia,7.67,7.5
Brazil,7.67,7.75
Brazil,7.25,7.33
Brazil,7.17,7.42
Colombia,7.33,7.33
Brazil,7.17,7.25
Indonesia,7.58,7.42
Colombia,7.67,7.5
Colombia,7.17,7.25
Brazil,7.33,7.25
Brazil,7.42,7.25
Colombia,7.08,7.25
Brazil,7.25,7.33
Brazil,7.42,7.42
Ethiopia,7.25,7.25
Brazil,7.17,7.33
Colombia,7.42,8
Vietnam,7.42,7.25
Brazil,7.17,7.17
Ethiopia,7.42,7.42
Colombia,7.83,7.67
Colombia,7.25,7.17
Colombia,7.83,7.5
Colombia,7.42,7.25
Brazil,6.83,7
Indonesia,6.92,6.83
Colombia,7.42,7.17
Brazil,7,6.75
Brazil,7.5,7.33
Indonesia,7.33,7
Brazil,7.17,7
Brazil,7.25,6.58
Colombia,8,7.33
Brazil,7,7
Vietnam,6.75,6.67
