iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million
ARG,South America,Argentina,01/01/22,5674428,20020,31715.571,124423.322,438.979,695.428
ARG,South America,Argentina,01/02/22,5694930,20502,33555.429,124872.87,449.548,735.771
ARG,South America,Argentina,01/03/22,5739326,44396,37003,125846.342,973.472,811.366
ARG,South America,Argentina,01/04/22,5820536,81210,43761.286,127627.036,1780.694,959.555
ARG,South America,Argentina,01/05/22,5915695,95159,51350.857,129713.589,2086.554,1125.972
ARG,South America,Argentina,01/06/22,6025303,109608,59794,132116.967,2403.377,1311.105
ARG,South America,Argentina,01/07/22,6135836,110533,68775.429,134540.627,2423.66,1508.041
ARG,South America,Argentina,01/08/22,6237525,101689,80442.429,136770.364,2229.737,1763.863
ARG,South America,Argentina,01/09/22,6310844,73319,87987.714,138378.031,1607.668,1929.309
ARG,South America,Argentina,01/10/22,6399196,88352,94267.143,140315.328,1937.296,2066.998
ARG,South America,Argentina,01/11/22,6533635,134439,101871.286,143263.175,2947.847,2233.734
ARG,South America,Argentina,01/12/22,6664717,131082,107003.143,146137.413,2874.238,2346.261
ARG,South America,Argentina,01/13/22,6793119,128402,109688,148952.887,2815.474,2405.131
ARG,South America,Argentina,01/14/22,6932972,139853,113876.571,152019.447,3066.56,2496.974
ARG,South America,Argentina,01/15/22,7029624,96652,113157,154138.738,2119.291,2481.196
ARG,South America,Argentina,01/16/22,7094865,65241,112003,155569.279,1430.541,2455.893
ARG,South America,Argentina,01/17/22,7197323,102458,114018.143,157815.878,2246.599,2500.079
ARG,South America,Argentina,01/18/22,7318305,120982,112095.714,160468.653,2652.775,2457.925
ARG,South America,Argentina,01/19/22,7446626,128321,111701.286,163282.351,2813.698,2449.277
ARG,South America,Argentina,01/20/22,7576335,129709,111888,166126.483,2844.132,2453.371
ARG,South America,Argentina,01/21/22,7694506,118171,108790.571,168717.622,2591.138,2385.454
ARG,South America,Argentina,01/22/22,7792652,98146,109004,170869.672,2152.05,2390.133
ARG,South America,Argentina,01/23/22,7862536,69884,109667.286,172402.02,1532.348,2404.677
ARG,South America,Argentina,01/24/22,7940657,78121,106190.571,174114.981,1712.961,2328.443
ARG,South America,Argentina,01/25/22,8041520,100863,103316.429,176326.606,2211.625,2265.422
ARG,South America,Argentina,01/26/22,8130023,88503,97628.143,178267.214,1940.607,2140.695
ARG,South America,Argentina,01/27/22,8207752,77729,90202.429,179971.58,1704.366,1977.871
ARG,South America,Argentina,01/28/22,8271636,63884,82447.143,181372.366,1400.786,1807.821
ARG,South America,Argentina,01/29/22,8313614,41978,74423.143,182292.818,920.453,1631.878
ARG,South America,Argentina,01/30/22,8335184,21570,67521.143,182765.784,472.966,1480.538
ARG,South America,Argentina,01/31/22,8378656,43472,62571.286,183718.996,953.212,1372.002
ARG,South America,Argentina,02/01/22,8427778,49122,55179.714,184796.095,1077.099,1209.927
ARG,South America,Argentina,02/02/22,8472848,45070,48975,185784.346,988.251,1073.876
ARG,South America,Argentina,02/03/22,8515285,42437,43933.286,186714.863,930.517,963.326
ARG,South America,Argentina,02/04/22,8555379,40094,40534.714,187594.005,879.142,888.806
ARG,South America,Argentina,02/05/22,8577215,21836,37657.286,188072.804,478.799,825.712
ARG,South America,Argentina,02/06/22,8589879,12664,36385,188350.488,277.684,797.815
ARG,South America,Argentina,02/07/22,8615285,25406,33804.143,188907.566,557.078,741.224
ARG,South America,Argentina,02/08/22,8648075,32790,31471,189626.553,718.987,690.065
ARG,South America,Argentina,02/09/22,8675327,27252,28925.571,190224.108,597.555,634.252
ARG,South America,Argentina,02/10/22,8700437,25110,26450.286,190774.696,550.588,579.976
ARG,South America,Argentina,02/11/22,8716940,16503,23080.143,191136.557,361.862,506.079
ARG,South America,Argentina,02/12/22,8728262,11322,21578.143,191384.815,248.258,473.144
ARG,South America,Argentina,02/13/22,8734551,6289,20667.429,191522.714,137.899,453.175
ARG,South America,Argentina,02/14/22,8747601,13050,18902.286,191808.862,286.148,414.471
ARG,South America,Argentina,02/15/22,8766174,18573,16871.286,192216.112,407.251,369.937
ARG,South America,Argentina,02/16/22,8783208,17034,15411.571,192589.617,373.505,337.93
ARG,South America,Argentina,02/17/22,8799858,16650,14203,192954.702,365.085,311.43
ARG,South America,Argentina,02/18/22,8815247,15389,14043.857,193292.137,337.435,307.94
ARG,South America,Argentina,02/19/22,8823054,7807,13541.714,193463.322,171.184,296.93
ARG,South America,Argentina,02/20/22,8827504,4450,13279,193560.897,97.575,291.169
ARG,South America,Argentina,02/21/22,8838674,11170,13010.429,193805.822,244.925,285.28
ARG,South America,Argentina,02/22/22,8855624,16950,12778.571,194177.485,371.663,280.196
ARG,South America,Argentina,02/23/22,8868188,12564,12140,194452.976,275.491,266.194
ARG,South America,Argentina,02/24/22,8878486,10298,11232.571,194678.78,225.804,246.297
ARG,South America,Argentina,02/25/22,8887973,9487,10389.429,194886.802,208.022,227.809
ARG,South America,Argentina,02/26/22,8893568,5595,10073.429,195009.484,122.682,220.88
ARG,South America,Argentina,02/27/22,8897178,3610,9953.429,195088.64,79.157,218.249
ARG,South America,Argentina,02/28/22,8900656,3478,8854.571,195164.903,76.262,194.154
ARG,South America,Argentina,03/01/22,8904176,3520,6936,195242.086,77.183,152.086
ARG,South America,Argentina,03/02/22,8912317,8141,6304.143,195420.594,178.508,138.231
ARG,South America,Argentina,03/03/22,8921536,9219,6150,195622.739,202.145,134.851
ARG,South America,Argentina,03/04/22,8929898,8362,5989.286,195806.093,183.354,131.327
ARG,South America,Argentina,03/05/22,8934328,4430,5822.857,195903.229,97.137,127.678
ARG,South America,Argentina,03/06/22,8936602,2274,5632,195953.091,49.862,123.493
ARG,South America,Argentina,03/07/22,8942888,6286,6033.143,196090.925,137.833,132.289
ARG,South America,Argentina,03/08/22,8949362,6474,6455.143,196232.88,141.956,141.542
ARG,South America,Argentina,03/09/22,8955458,6096,6163,196366.547,133.667,135.136
ARG,South America,Argentina,03/10/22,8961595,6137,5722.714,196501.113,134.566,125.482
ARG,South America,Argentina,03/11/22,8967210,5615,5330.286,196624.234,123.12,116.877
ARG,South America,Argentina,03/12/22,8970196,2986,5124,196689.708,65.474,112.354
ARG,South America,Argentina,03/13/22,8971432,1236,4975.714,196716.81,27.102,109.103
ARG,South America,Argentina,03/14/22,8976079,4647,4741.571,196818.704,101.895,103.969
ARG,South America,Argentina,03/15/22,8981155,5076,4541.857,196930.006,111.302,99.589
ARG,South America,Argentina,03/16/22,8985836,4681,4339.714,197032.646,102.64,95.157
ARG,South America,Argentina,03/17/22,8990413,4577,4116.857,197133.006,100.36,90.27
ARG,South America,Argentina,03/18/22,9004829,14416,5374.143,197449.106,316.1,117.839
ARG,South America,Argentina,03/19/22,9006526,1697,5190,197486.317,37.21,113.801
ARG,South America,Argentina,03/20/22,9007753,1227,5188.714,197513.221,26.904,113.773
ARG,South America,Argentina,03/21/22,9011367,3614,5041.143,197592.465,79.244,110.537
ARG,South America,Argentina,03/22/22,9016057,4690,4986,197695.303,102.838,109.328
ARG,South America,Argentina,03/23/22,9019660,3603,4832,197774.306,79.003,105.951
USA,North America,United States,01/01/22,55023934,188995,405115.714,165279.191,567.697,1216.874
USA,North America,United States,01/02/22,55309583,285649,420449.571,166137.214,858.024,1262.933
USA,North America,United States,01/03/22,56353540,1043957,498123.143,169273.02,3135.806,1496.247
USA,North America,United States,01/04/22,57165373,811833,562415.857,171711.579,2438.559,1689.367
USA,North America,United States,01/05/22,57827921,662548,585357.714,173701.72,1990.141,1758.279
USA,North America,United States,01/06/22,58662669,834748,620236.143,176209.11,2507.39,1863.046
USA,North America,United States,01/07/22,59532386,869717,671063.857,178821.539,2612.429,2015.721
USA,North America,United States,01/08/22,59930215,397829,700897.286,180016.526,1194.986,2105.334
USA,North America,United States,01/09/22,60415389,485174,729400.857,181473.876,1457.351,2190.952
USA,North America,United States,01/10/22,61797509,1382120,777709.857,185625.446,4151.569,2336.061
USA,North America,United States,01/11/22,62583893,786384,774074.286,187987.562,2362.116,2325.14
USA,North America,United States,01/12/22,63432705,848812,800683.429,190537.197,2549.635,2405.068
USA,North America,United States,01/13/22,64294414,861709,804535,193125.572,2588.375,2416.637
USA,North America,United States,01/14/22,65174193,879779,805972.429,195768.225,2642.653,2420.955
USA,North America,United States,01/15/22,65583536,409343,807617.286,196997.797,1229.572,2425.896
USA,North America,United States,01/16/22,66063476,479940,806869.571,198439.425,1441.629,2423.65
USA,North America,United States,01/17/22,66736191,672715,705526,200460.106,2020.681,2119.237
USA,North America,United States,01/18/22,67865489,1129298,754513.714,203852.256,3392.15,2266.385
USA,North America,United States,01/19/22,68773615,908126,762987.143,206580.057,2727.801,2291.837
USA,North America,United States,01/20/22,69506336,732721,744560.286,208780.982,2200.925,2236.487
USA,North America,United States,01/21/22,70347497,841161,739043.429,211307.635,2526.653,2219.916
USA,North America,United States,01/22/22,70651395,303898,723979.857,212220.475,912.839,2174.668
USA,North America,United States,01/23/22,71016668,365273,707598.857,213317.67,1097.196,2125.464
USA,North America,United States,01/24/22,71936274,919606,742869,216079.954,2762.284,2231.407
USA,North America,United States,01/25/22,72430476,494202,652141,217564.423,1484.469,1958.881
USA,North America,United States,01/26/22,73054670,624194,611579.286,219439.358,1874.935,1837.043
USA,North America,United States,01/27/22,73560935,506265,579228.429,220960.061,1520.703,1739.868
USA,North America,United States,01/28/22,74175398,614463,546843,222805.766,1845.705,1642.59
USA,North America,United States,01/29/22,74354834,179436,529062.714,223344.75,538.984,1589.182
USA,North America,United States,01/30/22,74553064,198230,505199.429,223940.187,595.437,1517.502
USA,North America,United States,01/31/22,75093931,540867,451093.857,225564.827,1624.64,1354.982
USA,North America,United States,02/01/22,75419879,325948,427057.571,226543.899,979.073,1282.782
USA,North America,United States,02/02/22,75749285,329406,384945,227533.359,989.46,1156.286
USA,North America,United States,02/03/22,76024372,275087,351919.571,228359.657,826.298,1057.085
USA,North America,United States,02/04/22,76379695,355323,314899.571,229426.965,1067.308,945.886
USA,North America,United States,02/05/22,76466510,86815,301668,229687.737,260.772,906.141
USA,North America,United States,02/06/22,76550118,83608,285293.429,229938.876,251.139,856.956
USA,North America,United States,02/07/22,76895911,345793,257425.714,230977.559,1038.682,773.247
USA,North America,United States,02/08/22,77110359,214448,241497.143,231621.711,644.152,725.402
USA,North America,United States,02/09/22,77298950,188591,221380.714,232188.195,566.484,664.977
USA,North America,United States,02/10/22,77470396,171446,206574.857,232703.179,514.984,620.503
USA,North America,United States,02/11/22,77679889,209493,185742,233332.447,629.269,557.926
USA,North America,United States,02/12/22,77731986,52097,180782.286,233488.935,156.487,543.028
USA,North America,United States,02/13/22,77790370,58384,177178.857,233664.307,175.372,532.204
USA,North America,United States,02/14/22,77960251,169881,152048.571,234174.59,510.283,456.719
USA,North America,United States,02/15/22,78071489,111238,137304.286,234508.723,334.133,412.43
USA,North America,United States,02/16/22,78186387,114898,126776.714,234853.85,345.127,380.808
USA,North America,United States,02/17/22,78288215,101828,116831.286,235159.718,305.868,350.934
USA,North America,United States,02/18/22,78433459,145244,107652.857,235595.998,436.279,323.364
USA,North America,United States,02/19/22,78464983,31524,104713.857,235690.688,94.691,314.536
USA,North America,United States,02/20/22,78488048,23065,99668.286,235759.97,69.282,299.381
USA,North America,United States,02/21/22,78570835,82787,87226.286,236008.643,248.673,262.008
USA,North America,United States,02/22/22,78660205,89370,84102.286,236277.09,268.447,252.624
USA,North America,United States,02/23/22,78745306,85101,79845.571,236532.714,255.624,239.838
USA,North America,United States,02/24/22,78812367,67061,74878.857,236734.15,201.436,224.919
USA,North America,United States,02/25/22,78886932,74565,64781.857,236958.126,223.976,194.59
USA,North America,United States,02/26/22,78934389,47457,67058,237100.676,142.55,201.427
USA,North America,United States,02/27/22,78952681,18292,66376.143,237155.621,54.945,199.379
USA,North America,United States,02/28/22,79051482,98801,68663.857,237452.396,296.775,206.25
USA,North America,United States,03/01/22,79098153,46671,62564,237592.585,140.189,187.928
USA,North America,United States,03/02/22,79151573,53420,58038.143,237753.046,160.461,174.333
USA,North America,United States,03/03/22,79200230,48657,55409,237899.201,146.154,166.436
USA,North America,United States,03/04/22,79251522,51292,52084.286,238053.27,154.069,156.449
USA,North America,United States,03/05/22,79266469,14947,47440,238098.167,44.897,142.499
USA,North America,United States,03/06/22,79277512,11043,46404.429,238131.338,33.171,139.388
USA,North America,United States,03/07/22,79340931,63419,41349.857,238321.834,190.496,124.205
USA,North America,United States,03/08/22,79370693,29762,38934.286,238411.232,89.398,116.95
USA,North America,United States,03/09/22,79408063,37370,36641.429,238523.483,112.251,110.062
USA,North America,United States,03/10/22,79454543,46480,36330.429,238663.098,139.615,109.128
USA,North America,United States,03/11/22,79504255,49712,36104.714,238812.422,149.323,108.45
USA,North America,United States,03/12/22,79514718,10463,35464.143,238843.85,31.428,106.526
USA,North America,United States,03/13/22,79525544,10826,35433.143,238876.369,32.519,106.433
USA,North America,United States,03/14/22,79560288,34744,31336.714,238980.732,104.363,94.128
USA,North America,United States,03/15/22,79585838,25550,30735,239057.478,76.746,92.321
USA,North America,United States,03/16/22,79630853,45015,31827.143,239192.693,135.215,95.601
USA,North America,United States,03/17/22,79683737,52884,32742,239351.544,158.851,98.349
USA,North America,United States,03/18/22,79717247,33510,30427.429,239452.2,100.656,91.397
USA,North America,United States,03/19/22,79728165,10918,30492.429,239484.996,32.795,91.592
USA,North America,United States,03/20/22,79734788,6623,29892,239504.889,19.894,89.789
USA,North America,United States,03/21/22,79780432,45644,31449.143,239641.994,137.104,94.466
USA,North America,United States,03/22/22,79803443,23011,31086.429,239711.113,69.12,93.376
USA,North America,United States,03/23/22,79844430,40987,30511,239834.229,123.115,91.648
FRA,Europe,France,01/01/22,10237147,219126,157704.714,151836.893,3250.067,2339.069
FRA,Europe,France,01/02/22,10295579,58432,162095.429,152703.554,866.661,2404.192
FRA,Europe,France,01/03/22,10363040,67461,167381.429,153704.132,1000.578,2482.594
FRA,Europe,France,01/04/22,10634786,271746,180515.429,157734.656,4030.524,2677.397
FRA,Europe,France,01/05/22,10967038,332252,198251.571,162662.603,4927.946,2940.458
FRA,Europe,France,01/06/22,11229825,262787,206286.286,166560.247,3897.645,3059.629
FRA,Europe,France,01/07/22,11558039,328214,220002.571,171428.302,4868.055,3263.068
FRA,Europe,France,01/08/22,11861708,303669,232080.143,175932.307,4504.005,3442.202
FRA,Europe,France,01/09/22,12157805,296097,266032.286,180324.004,4391.697,3945.779
FRA,Europe,France,01/10/22,12251701,93896,269808.714,181716.665,1392.661,4001.79
FRA,Europe,France,01/11/22,12620080,368379,283613.429,187180.446,5463.78,4206.541
FRA,Europe,France,01/12/22,12981799,361719,287823,192545.445,5365,4268.977
FRA,Europe,France,01/13/22,13290020,308221,294313.571,197116.965,4571.52,4365.245
FRA,Europe,France,01/14/22,13619391,329371,294478.857,202002.18,4885.216,4367.697
FRA,Europe,France,01/15/22,13943971,324580,297466.143,206816.336,4814.156,4412.004
FRA,Europe,France,01/16/22,14222100,278129,294899.286,210941.532,4125.197,4373.933
FRA,Europe,France,01/17/22,14324269,102169,296081.143,212456.898,1515.366,4391.462
FRA,Europe,France,01/18/22,14789038,464769,309851.143,219350.331,6893.432,4595.698
FRA,Europe,France,01/19/22,15225205,436167,320486.571,225819.54,6469.209,4753.442
FRA,Europe,France,01/20/22,15652148,426943,337446.857,232151.939,6332.399,5004.996
FRA,Europe,France,01/21/22,16052999,400851,347658.286,238097.342,5945.404,5156.452
FRA,Europe,France,01/22/22,16442319,389320,356906.857,243871.718,5774.376,5293.626
FRA,Europe,France,01/23/22,16743933,301614,360261.857,248345.243,4473.525,5343.387
FRA,Europe,France,01/24/22,16852414,108481,361163.571,249954.229,1608.985,5356.761
FRA,Europe,France,01/25/22,17354921,502507,366554.714,257407.389,7453.161,5436.723
FRA,Europe,France,01/26/22,17782057,427136,365264.571,263742.651,6335.261,5417.587
