date,metal,average_price,minimum_price,maximum_price
4/1/2022,palladium($/oz),2559.48,2324.52,2791.94
4/4/2022,palladium($/oz),2569.64,2345.66,2800.86
4/5/2022,palladium($/oz),2572.68,2344.74,2794.35
4/6/2022,palladium($/oz),2577.19,2342.60,2794.33
4/7/2022,palladium($/oz),2580.66,2351.12,2823.70
4/8/2022,palladium($/oz),2583.97,2339.81,2803.45
4/11/2022,palladium($/oz),2591.67,2373.40,2818.85
4/12/2022,palladium($/oz),2593.39,2369.48,2820.39
4/13/2022,palladium($/oz),2596.4,2376.46,2818.37
4/14/2022,palladium($/oz),2598.2,2358.16,2814.09
4/15/2022,palladium($/oz),2599.73,2376.56,2822.82
4/18/2022,palladium($/oz),2601.75,2356.51,2834.10
4/19/2022,palladium($/oz),2601.6,2370.77,2827.96
4/20/2022,palladium($/oz),2602.8,2382.77,2822.82
4/21/2022,palladium($/oz),2602.88,2371.61,2818.02
4/22/2022,palladium($/oz),2602.81,2375.32,2841.22
4/25/2022,palladium($/oz),2600.97,2366.97,2827.30
4/26/2022,palladium($/oz),2599.87,2358.91,2822.47
4/27/2022,palladium($/oz),2600.32,2387.72,2834.93
4/28/2022,palladium($/oz),2599.83,2383.60,2824.57
4/29/2022,palladium($/oz),2599.37,2396.07,2821.99
5/2/2022,palladium($/oz),2597.35,2376.19,2807.88
5/3/2022,palladium($/oz),2596.47,2364.48,2822.23
5/4/2022,palladium($/oz),2597.26,2352.34,2836.99
5/5/2022,palladium($/oz),2597.21,2371.24,2818.18
5/6/2022,palladium($/oz),2597.26,2376.73,2828.84
5/9/2022,palladium($/oz),2597.06,2376.63,2823.39
5/10/2022,palladium($/oz),2596.83,2362.04,2843.22
5/11/2022,palladium($/oz),2598.26,2380.97,2812.12
5/12/2022,palladium($/oz),2598.84,2370.46,2823.20
5/13/2022,palladium($/oz),2599.49,2364.33,2828.17
5/16/2022,palladium($/oz),2600.87,2358.46,2842.81
5/17/2022,palladium($/oz),2601.08,2380.48,2827.29
5/18/2022,palladium($/oz),2602.9,2361.63,2815.80
5/19/2022,palladium($/oz),2603.82,2378.25,2815.56
5/20/2022,palladium($/oz),2604.77,2364.77,2829.10
5/23/2022,palladium($/oz),2606.81,2388.09,2840.42
5/24/2022,palladium($/oz),2607.18,2390.27,2829.33
5/25/2022,palladium($/oz),2609.11,2384.93,2818.77
5/26/2022,palladium($/oz),2610.13,2387.89,2848.10
5/27/2022,palladium($/oz),2611.15,2381.62,2821.28
5/30/2022,palladium($/oz),2613.23,2391.32,2831.17
5/31/2022,palladium($/oz),2613.55,2394.67,2856.77
6/1/2022,palladium($/oz),2615.42,2400.28,2837.97
6/2/2022,palladium($/oz),2616.33,2403.46,2856.19
6/3/2022,palladium($/oz),2617.22,2384.47,2840.89
6/6/2022,palladium($/oz),2618.7,2386.46,2864.86
6/7/2022,palladium($/oz),2618.75,2402.64,2844.72
6/8/2022,palladium($/oz),2620.32,2400.67,2841.37
6/9/2022,palladium($/oz),2620.9,2394.11,2845.27
6/10/2022,palladium($/oz),2621.43,2406.74,2852.35
6/13/2022,palladium($/oz),2621.76,2381.03,2856.10
6/14/2022,palladium($/oz),2621.43,2404.66,2841.23
6/15/2022,palladium($/oz),2622.64,2389.48,2851.96
6/16/2022,palladium($/oz),2622.9,2398.90,2855.88
6/17/2022,palladium($/oz),2623.14,2421.36,2857.65
6/20/2022,palladium($/oz),2623.04,2384.82,2843.29
6/21/2022,palladium($/oz),2622.75,2390.50,2851.58
6/22/2022,palladium($/oz),2624.1,2398.80,2849.97
6/23/2022,palladium($/oz),2624.62,2379.98,2856.07
6/24/2022,palladium($/oz),2625.26,2403.51,2861.44
6/27/2022,palladium($/oz),2627.11,2402.98,2838.54
6/28/2022,palladium($/oz),2627.72,2389.87,2843.21
6/29/2022,palladium($/oz),2630.09,2394.36,2852.06
6/30/2022,palladium($/oz),2631.72,2415.12,2837.94
7/1/2022,palladium($/oz),2633.57,2409.37,2865.76
7/4/2022,palladium($/oz),2639.35,2413.65,2863.78
7/5/2022,palladium($/oz),2641.3,2430.44,2865.03
7/6/2022,palladium($/oz),2644.97,2415.65,2864.09
7/7/2022,palladium($/oz),2647.86,2405.07,2866.19
7/8/2022,palladium($/oz),2650.86,2423.36,2877.52
7/11/2022,palladium($/oz),2659.31,2436.34,2868.44
7/12/2022,palladium($/oz),2661.79,2439.95,2873.01
7/13/2022,palladium($/oz),2665.8,2440.29,2895.63
7/14/2022,palladium($/oz),2668.78,2449.17,2891.93
7/15/2022,palladium($/oz),2671.65,2433.39,2910.62
7/18/2022,palladium($/oz),2678.26,2444.41,2896.60
7/19/2022,palladium($/oz),2679.66,2441.73,2907.33
7/20/2022,palladium($/oz),2682.37,2457.91,2908.65
7/21/2022,palladium($/oz),2683.86,2454.57,2910.12
7/22/2022,palladium($/oz),2685.06,2459.78,2905.47
7/25/2022,palladium($/oz),2685.94,2470.18,2907.31
7/26/2022,palladium($/oz),2685.3,2449.01,2910.33
7/27/2022,palladium($/oz),2685.97,2459.81,2912.67
7/28/2022,palladium($/oz),2685.46,2454.73,2898.30
7/29/2022,palladium($/oz),2684.73,2475.64,2918.04
8/1/2022,palladium($/oz),2680.59,2464.86,2900.39
8/2/2022,palladium($/oz),2678.65,2455.62,2904.27
8/3/2022,palladium($/oz),2678.24,2464.38,2921.64
8/4/2022,palladium($/oz),2676.89,2455.50,2902.84
8/5/2022,palladium($/oz),2675.58,2434.10,2899.06
8/8/2022,palladium($/oz),2671.28,2442.54,2919.45
8/9/2022,palladium($/oz),2669.79,2452.60,2911.16
8/10/2022,palladium($/oz),2670.05,2446.98,2892.71
8/11/2022,palladium($/oz),2669.59,2456.58,2904.73
8/12/2022,palladium($/oz),2669.35,2438.45,2896.27
8/15/2022,palladium($/oz),2669.02,2440.85,2895.25
8/16/2022,palladium($/oz),2668.99,2445.08,2895.60
8/17/2022,palladium($/oz),2670.72,2429.30,2885.54
8/18/2022,palladium($/oz),2671.69,2438.40,2876.17
8/19/2022,palladium($/oz),2672.81,2444.50,2891.46
8/22/2022,palladium($/oz),2675.83,2439.00,2907.48
8/23/2022,palladium($/oz),2676.59,2441.88,2892.95
8/24/2022,palladium($/oz),2678.89,2452.75,2908.26
8/25/2022,palladium($/oz),2680.23,2444.24,2923.93
8/26/2022,palladium($/oz),2681.49,2449.32,2916.08
8/29/2022,palladium($/oz),2683.6,2458.65,2898.83
8/30/2022,palladium($/oz),2683.64,2460.05,2917.85
8/31/2022,palladium($/oz),2685.06,2476.87,2907.46
9/1/2022,palladium($/oz),2685.36,2450.24,2913.06
9/2/2022,palladium($/oz),2685.46,2455.89,2904.50
9/5/2022,palladium($/oz),2683.66,2446.50,2913.86
9/6/2022,palladium($/oz),2682.37,2460.08,2913.03
9/7/2022,palladium($/oz),2682.49,2441.67,2906.28
9/8/2022,palladium($/oz),2681.57,2460.76,2908.53
9/9/2022,palladium($/oz),2680.55,2452.39,2895.97
9/12/2022,palladium($/oz),2676.28,2425.54,2897.41
9/13/2022,palladium($/oz),2674.52,2454.92,2900.55
9/14/2022,palladium($/oz),2674.38,2451.19,2902.20
9/15/2022,palladium($/oz),2673.4,2437.17,2897.85
9/16/2022,palladium($/oz),2672.53,2441.62,2887.97
9/19/2022,palladium($/oz),2669.89,2426.72,2913.07
9/20/2022,palladium($/oz),2669.03,2436.91,2911.37
9/21/2022,palladium($/oz),2669.93,2449.58,2904.04
9/22/2022,palladium($/oz),2670.12,2434.65,2889.80
9/23/2022,palladium($/oz),2670.52,2446.33,2893.63
9/26/2022,palladium($/oz),2672,2455.88,2898.35
9/27/2022,palladium($/oz),2672.52,2437.48,2895.25
9/28/2022,palladium($/oz),2674.78,2455.01,2910.05
9/29/2022,palladium($/oz),2676.26,2461.56,2921.61
9/30/2022,palladium($/oz),2677.88,2450.44,2908.20
10/3/2022,palladium($/oz),2682.39,2465.41,2911.07
10/4/2022,palladium($/oz),2683.68,2465.76,2913.98
10/5/2022,palladium($/oz),2686.56,2452.17,2909.19
10/6/2022,palladium($/oz),2688.53,2461.65,2926.51
10/7/2022,palladium($/oz),2690.51,2456.08,2928.09
10/10/2022,palladium($/oz),2695.36,2469.67,2932.66
10/11/2022,palladium($/oz),2696.55,2475.98,2910.61
10/12/2022,palladium($/oz),2699.26,2490.09,2924.32
10/13/2022,palladium($/oz),2700.99,2469.31,2920.64
10/14/2022,palladium($/oz),2702.67,2476.04,2922.79
10/17/2022,palladium($/oz),2706.48,2485.13,2940.21
10/18/2022,palladium($/oz),2707.31,2477.71,2952.48
10/19/2022,palladium($/oz),2709.68,2471.16,2933.01
10/20/2022,palladium($/oz),2711.09,2492.30,2955.51
10/21/2022,palladium($/oz),2712.47,2476.18,2948.35
10/24/2022,palladium($/oz),2715.62,2483.44,2949.12
10/25/2022,palladium($/oz),2716.3,2488.05,2934.47
10/26/2022,palladium($/oz),2718.55,2489.50,2964.20
10/27/2022,palladium($/oz),2719.87,2503.64,2949.94
10/28/2022,palladium($/oz),2721.18,2495.12,2951.59
10/31/2022,palladium($/oz),2724.16,2507.61,2955.80
11/1/2022,palladium($/oz),2724.78,2485.35,2950.44
11/2/2022,palladium($/oz),2726.95,2499.49,2952.16
11/3/2022,palladium($/oz),2728.16,2506.74,2942.60
11/4/2022,palladium($/oz),2729.35,2495.93,2971.62
11/7/2022,palladium($/oz),2731.77,2485.37,2952.48
11/8/2022,palladium($/oz),2732.15,2495.79,2956.50
11/9/2022,palladium($/oz),2734.05,2504.60,2974.60
11/10/2022,palladium($/oz),2734.97,2502.86,2954.45
11/11/2022,palladium($/oz),2735.85,2488.06,2959.49
11/14/2022,palladium($/oz),2737.33,2522.21,2957.88
11/15/2022,palladium($/oz),2737.42,2492.49,2952.88
11/16/2022,palladium($/oz),2739.05,2520.80,2966.51
11/17/2022,palladium($/oz),2739.74,2518.67,2968.62
11/18/2022,palladium($/oz),2740.43,2526.24,2980.60
11/21/2022,palladium($/oz),2741.61,2531.43,2970.15
11/22/2022,palladium($/oz),2741.71,2519.63,2976.69
11/23/2022,palladium($/oz),2743.4,2527.66,2976.05
11/24/2022,palladium($/oz),2744.21,2513.63,2973.86
11/25/2022,palladium($/oz),2745.06,2498.77,2968.82
11/28/2022,palladium($/oz),2746.95,2512.94,2967.77
11/29/2022,palladium($/oz),2747.32,2522.86,2977.68
11/30/2022,palladium($/oz),2749.29,2527.79,2975.25
12/1/2022,palladium($/oz),2750.38,2506.89,2976.44
12/2/2022,palladium($/oz),2751.49,2514.35,2964.64
12/5/2022,palladium($/oz),2753.98,2518.10,2989.61
12/6/2022,palladium($/oz),2754.47,2519.09,2962.42
12/7/2022,palladium($/oz),2756.52,2533.34,2994.39
12/8/2022,palladium($/oz),2757.63,2545.58,2991.92
12/9/2022,palladium($/oz),2758.71,2544.32,2973.98
12/12/2022,palladium($/oz),2760.9,2530.24,2982.87
12/13/2022,palladium($/oz),2761.23,2536.13,2973.38
12/14/2022,palladium($/oz),2763.12,2537.97,2985.77
12/15/2022,palladium($/oz),2764.08,2534.99,2995.96
12/16/2022,palladium($/oz),2765.04,2534.10,2986.07
12/19/2022,palladium($/oz),2767.18,2550.42,2986.50
12/20/2022,palladium($/oz),2767.66,2527.33,2999.14
12/21/2022,palladium($/oz),2769.8,2539.85,2997.10
12/22/2022,palladium($/oz),2771.12,2551.13,3002.46
12/23/2022,palladium($/oz),2772.58,2551.55,3008.19
12/26/2022,palladium($/oz),2777.02,2540.77,2995.89
12/27/2022,palladium($/oz),2778.53,2544.22,3006.15
12/28/2022,palladium($/oz),2781.83,2552.03,3011.56
12/29/2022,palladium($/oz),2784.42,2548.32,3020.42
12/30/2022,palladium($/oz),2787.24,2544.68,3011.79
4/1/2022,gold($/oz),1949.11,1844.11,2053.76
4/4/2022,gold($/oz),1952.74,1846.53,2060.92
4/5/2022,gold($/oz),1953.35,1851.00,2055.65
4/6/2022,gold($/oz),1954.79,1844.30,2061.67
4/7/2022,gold($/oz),1955.46,1843.68,2059.39
4/8/2022,gold($/oz),1955.97,1844.60,2060.40
4/11/2022,gold($/oz),1958.97,1854.56,2061.55
4/12/2022,gold($/oz),1959.28,1846.84,2065.19
4/13/2022,gold($/oz),1960.4,1852.70,2063.37
4/14/2022,gold($/oz),1960.72,1855.29,2058.89
4/15/2022,gold($/oz),1960.86,1847.81,2070.97
4/18/2022,gold($/oz),1962.73,1854.50,2072.81
4/19/2022,gold($/oz),1962.66,1853.21,2066.52
4/20/2022,gold($/oz),1963.42,1852.26,2076.09
4/21/2022,gold($/oz),1963.41,1853.83,2074.31
4/22/2022,gold($/oz),1963.23,1863.10,2073.63
4/25/2022,gold($/oz),1964.32,1858.72,2064.20
4/26/2022,gold($/oz),1964.06,1862.89,2072.07
4/27/2022,gold($/oz),1964.66,1856.05,2074.45
4/28/2022,gold($/oz),1964.52,1863.77,2072.25
4/29/2022,gold($/oz),1964.25,1858.83,2076.66
5/2/2022,gold($/oz),1965.26,1859.98,2064.96
5/3/2022,gold($/oz),1965.04,1863.18,2071.95
5/4/2022,gold($/oz),1965.71,1859.24,2076.78
5/5/2022,gold($/oz),1965.66,1863.84,2064.65
5/6/2022,gold($/oz),1965.51,1866.32,2074.54
5/9/2022,gold($/oz),1967.01,1856.59,2063.33
5/10/2022,gold($/oz),1966.99,1865.03,2070.53
5/11/2022,gold($/oz),1967.88,1861.10,2071.47
5/12/2022,gold($/oz),1968.06,1870.34,2075.56
5/13/2022,gold($/oz),1968.16,1858.19,2073.40
5/16/2022,gold($/oz),1970.45,1863.60,2081.20
5/17/2022,gold($/oz),1970.7,1863.50,2079.97
5/18/2022,gold($/oz),1971.85,1867.52,2074.53
5/19/2022,gold($/oz),1972.3,1864.14,2079.69
5/20/2022,gold($/oz),1972.65,1869.45,2077.47
5/23/2022,gold($/oz),1975.64,1863.56,2076.55
5/24/2022,gold($/oz),1976.09,1872.80,2075.42
5/25/2022,gold($/oz),1977.42,1864.04,2087.57
5/26/2022,gold($/oz),1978.02,1873.00,2080.32
5/27/2022,gold($/oz),1978.5,1877.66,2081.15
5/30/2022,gold($/oz),1981.65,1872.51,2088.94
5/31/2022,gold($/oz),1982.07,1867.72,2084.57
6/1/2022,gold($/oz),1983.34,1876.37,2087.90
6/2/2022,gold($/oz),1983.83,1874.70,2087.67
6/3/2022,gold($/oz),1984.16,1875.62,2092.83
6/6/2022,gold($/oz),1986.62,1882.48,2101.04
6/7/2022,gold($/oz),1986.74,1885.68,2091.87
6/8/2022,gold($/oz),1987.66,1877.61,2092.84
6/9/2022,gold($/oz),1987.78,1881.70,2088.87
6/10/2022,gold($/oz),1987.71,1873.98,2091.68
6/13/2022,gold($/oz),1988.88,1886.41,2097.35
6/14/2022,gold($/oz),1988.56,1885.66,2099.62
6/15/2022,gold($/oz),1989.05,1883.50,2086.40
6/16/2022,gold($/oz),1988.75,1877.70,2092.18
6/17/2022,gold($/oz),1988.28,1884.39,2093.85
6/20/2022,gold($/oz),1988.45,1887.64,2100.60
6/21/2022,gold($/oz),1987.88,1882.02,2087.82
6/22/2022,gold($/oz),1988.17,1883.99,2084.84
6/23/2022,gold($/oz),1987.73,1878.87,2091.42
6/24/2022,gold($/oz),1987.18,1880.69,2091.33
6/27/2022,gold($/oz),1987.49,1884.87,2085.93
6/28/2022,gold($/oz),1987.1,1875.33,2093.32
6/29/2022,gold($/oz),1987.63,1880.90,2090.68
6/30/2022,gold($/oz),1987.5,1872.59,2089.11
7/1/2022,gold($/oz),1987.31,1879.88,2103.28
7/4/2022,gold($/oz),1989,1876.67,2090.50
7/5/2022,gold($/oz),1989.14,1883.54,2095.88
7/6/2022,gold($/oz),1990.24,1886.76,2092.09
7/7/2022,gold($/oz),1990.7,1882.39,2093.05
7/8/2022,gold($/oz),1991.1,1888.46,2089.38
7/11/2022,gold($/oz),1994.57,1891.30,2098.93
7/12/2022,gold($/oz),1995.28,1891.78,2100.29
7/13/2022,gold($/oz),1996.91,1895.03,2101.01
7/14/2022,gold($/oz),1997.87,1889.94,2110.92
7/15/2022,gold($/oz),1998.74,1888.04,2099.04
7/18/2022,gold($/oz),2003.35,1892.54,2112.20
7/19/2022,gold($/oz),2004.35,1901.86,2105.69
7/20/2022,gold($/oz),2006.22,1896.26,2114.28
7/21/2022,gold($/oz),2007.36,1906.09,2116.81
7/22/2022,gold($/oz),2008.38,1902.77,2112.94
7/25/2022,gold($/oz),2013.15,1911.04,2126.51
7/26/2022,gold($/oz),2014.14,1903.03,2125.43
7/27/2022,gold($/oz),2015.97,1909.18,2122.92
7/28/2022,gold($/oz),2017.05,1909.58,2116.78
7/29/2022,gold($/oz),2017.99,1912.42,2126.76
8/1/2022,gold($/oz),2022.5,1908.28,2123.61
8/2/2022,gold($/oz),2023.4,1917.90,2128.81
8/3/2022,gold($/oz),2025.16,1911.37,2129.18
8/4/2022,gold($/oz),2026.18,1923.17,2133.63
8/5/2022,gold($/oz),2027.08,1919.71,2137.84
8/8/2022,gold($/oz),2031.6,1925.39,2140.99
8/9/2022,gold($/oz),2032.55,1924.22,2143.08
8/10/2022,gold($/oz),2034.38,1922.71,2135.53
8/11/2022,gold($/oz),2035.5,1928.17,2140.27
8/12/2022,gold($/oz),2036.5,1932.15,2147.18
8/15/2022,gold($/oz),2041.39,1947.12,2151.21
8/16/2022,gold($/oz),2042.46,1939.01,2147.77
8/17/2022,gold($/oz),2044.4,1943.43,2146.85
8/18/2022,gold($/oz),2045.61,1933.53,2155.65
8/19/2022,gold($/oz),2046.69,1935.44,2148.42
8/22/2022,gold($/oz),2051.61,1940.01,2154.25
8/23/2022,gold($/oz),2052.61,1944.26,2158.14
8/24/2022,gold($/oz),2054.43,1952.41,2165.35
8/25/2022,gold($/oz),2055.47,1942.31,2168.21
8/26/2022,gold($/oz),2056.31,1940.10,2157.70
8/29/2022,gold($/oz),2060.18,1945.06,2165.55
8/30/2022,gold($/oz),2060.71,1955.44,2169.33
8/31/2022,gold($/oz),2062.01,1958.94,2169.77
9/1/2022,gold($/oz),2062.47,1949.62,2178.08
9/2/2022,gold($/oz),2062.7,1950.15,2164.86
9/5/2022,gold($/oz),2064.46,1960.19,2177.35
9/6/2022,gold($/oz),2064.24,1949.57,2172.56
9/7/2022,gold($/oz),2064.76,1957.02,2164.62
9/8/2022,gold($/oz),2064.44,1957.06,2173.62
9/9/2022,gold($/oz),2063.89,1959.97,2171.83
9/12/2022,gold($/oz),2063.44,1961.91,2168.71
9/13/2022,gold($/oz),2062.54,1962.06,2170.59
9/14/2022,gold($/oz),2062.44,1962.93,2170.00
9/15/2022,gold($/oz),2061.55,1955.41,2164.06
9/16/2022,gold($/oz),2060.49,1959.39,2173.91
9/19/2022,gold($/oz),2058.94,1950.54,2161.65
9/20/2022,gold($/oz),2057.82,1948.64,2159.57
9/21/2022,gold($/oz),2057.59,1953.29,2162.75
9/22/2022,gold($/oz),2056.65,1945.91,2166.23
9/23/2022,gold($/oz),2055.62,1947.38,2161.73
9/26/2022,gold($/oz),2054.63,1943.28,2165.30
9/27/2022,gold($/oz),2053.85,1940.22,2163.50
9/28/2022,gold($/oz),2054.01,1945.52,2166.38
9/29/2022,gold($/oz),2053.51,1945.62,2157.00
9/30/2022,gold($/oz),2052.97,1939.38,2150.99
10/3/2022,gold($/oz),2053.64,1945.04,2165.20
10/4/2022,gold($/oz),2053.44,1942.29,2160.78
10/5/2022,gold($/oz),2054.18,1933.35,2166.07
10/6/2022,gold($/oz),2054.26,1939.15,2165.43
10/7/2022,gold($/oz),2054.28,1946.50,2164.19
10/10/2022,gold($/oz),2056.42,1944.01,2160.93
10/11/2022,gold($/oz),2056.62,1948.05,2165.42
10/12/2022,gold($/oz),2057.71,1945.63,2157.49
10/13/2022,gold($/oz),2058.07,1951.84,2157.85
10/14/2022,gold($/oz),2058.31,1947.23,2162.49
10/17/2022,gold($/oz),2060.7,1954.81,2168.67
10/18/2022,gold($/oz),2060.85,1952.38,2165.64
10/19/2022,gold($/oz),2061.83,1953.22,2170.56
10/20/2022,gold($/oz),2062.02,1957.92,2169.83
10/21/2022,gold($/oz),2062.02,1948.29,2164.01
10/24/2022,gold($/oz),2063.46,1951.67,2170.23
10/25/2022,gold($/oz),2063.23,1948.87,2172.66
10/26/2022,gold($/oz),2063.8,1948.51,2169.33
10/27/2022,gold($/oz),2063.57,1961.58,2174.86
10/28/2022,gold($/oz),2063.16,1953.75,2174.81
10/31/2022,gold($/oz),2063.4,1952.70,2180.28
11/1/2022,gold($/oz),2062.81,1950.54,2172.37
11/2/2022,gold($/oz),2063.07,1946.45,2164.66
11/3/2022,gold($/oz),2062.56,1949.72,2181.70
11/4/2022,gold($/oz),2061.92,1956.10,2167.32
11/7/2022,gold($/oz),2061.75,1947.78,2165.91
11/8/2022,gold($/oz),2061.12,1957.21,2167.68
11/9/2022,gold($/oz),2061.39,1957.95,2173.80
11/10/2022,gold($/oz),2060.94,1950.04,2168.94
11/11/2022,gold($/oz),2060.39,1950.38,2172.96
11/14/2022,gold($/oz),2060.71,1958.41,2170.98
11/15/2022,gold($/oz),2060.3,1951.79,2162.45
11/16/2022,gold($/oz),2060.78,1949.34,2173.31
11/17/2022,gold($/oz),2060.55,1948.24,2173.07
11/18/2022,gold($/oz),2060.22,1945.83,2179.55
11/21/2022,gold($/oz),2061.07,1944.85,2167.07
11/22/2022,gold($/oz),2060.78,1948.62,2163.73
11/23/2022,gold($/oz),2061.34,1948.83,2182.74
11/24/2022,gold($/oz),2061.15,1944.45,2169.96
11/25/2022,gold($/oz),2060.81,1949.13,2163.94
11/28/2022,gold($/oz),2061.38,1940.97,2165.75
11/29/2022,gold($/oz),2060.9,1950.99,2161.83
11/30/2022,gold($/oz),2061.24,1947.46,2173.89
12/1/2022,gold($/oz),2060.8,1941.49,2167.28
12/2/2022,gold($/oz),2060.18,1955.38,2170.51
12/5/2022,gold($/oz),2059.83,1947.28,2173.85
12/6/2022,gold($/oz),2059.05,1941.87,2172.31
12/7/2022,gold($/oz),2059.12,1949.55,2174.86
12/8/2022,gold($/oz),2058.43,1941.11,2167.70
12/9/2022,gold($/oz),2057.6,1938.68,2170.38
12/12/2022,gold($/oz),2056.98,1936.83,2162.15
12/13/2022,gold($/oz),2056.25,1939.77,2167.89
12/14/2022,gold($/oz),2056.45,1947.78,2165.67
12/15/2022,gold($/oz),2055.97,1938.96,2161.63
12/16/2022,gold($/oz),2055.45,1938.30,2158.88
12/19/2022,gold($/oz),2056.26,1950.82,2162.50
12/20/2022,gold($/oz),2056.18,1948.66,2161.95
12/21/2022,gold($/oz),2057.09,1936.97,2163.49
12/22/2022,gold($/oz),2057.4,1944.02,2166.38
12/23/2022,gold($/oz),2057.72,1938.74,2172.02
12/26/2022,gold($/oz),2061.26,1949.15,2174.99
12/27/2022,gold($/oz),2062.12,1949.87,2182.97
12/28/2022,gold($/oz),2063.96,1955.49,2179.83
12/29/2022,gold($/oz),2065.18,1959.81,2179.48
12/30/2022,gold($/oz),2066.37,1951.69,2171.30
